sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 17, 2023 10:44:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_3e6a9a3a292f42bb82f2ab68b2f533aa(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=13)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_3e6a9a3a292f42bb82f2ab68b2f533aa(STAGE=2,WIDTH=13)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=13)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=12)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=11)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=10)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=9)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=8)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=7)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=6)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3e6a9a3a292f42bb82f2ab68b2f533aa	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
  +u_R0_FIFO:R0_FIFO                                        	     107(0)	      28(0)	      59(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_d3aef48d269341d8a19128109cfa8178_renamed_due_excessive_length_4	     107(4)	      28(0)	      59(0)	     8(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_d3aef48d269341d8a19128109cfa8178(MODE="FWFT",WR_DEPTH=256,RD_DEPTH=2048,WDATA_WIDTH=128,RDATA_WIDTH=16,WADDR_WIDTH=8,RADDR_WIDTH=11,OUTPUT_REG=0,RAM_MUX_RATIO=8)	       0(0)	       0(0)	       0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_d3aef48d269341d8a19128109cfa8178_renamed_due_excessive_length_5	    103(67)	     28(28)	     59(27)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_d3aef48d269341d8a19128109cfa8178(WIDTH=12)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_d3aef48d269341d8a19128109cfa8178(STAGE=2,WIDTH=12)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=12)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=11)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=10)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=9)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=8)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=7)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=6)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_d3aef48d269341d8a19128109cfa8178(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_d3aef48d269341d8a19128109cfa8178(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d3aef48d269341d8a19128109cfa8178(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     24(24)	     22(22)	     62(62)	     0(0)	     0(0)	
